universe,model,fold,IC_mean_mean,IC_mean_std,Sharpe_gross_mean,Sharpe_gross_std,Sharpe_net_0bps_mean,Sharpe_net_0bps_std,Sharpe_net_5bps_mean,Sharpe_net_5bps_std,Sharpe_net_10bps_mean,Sharpe_net_10bps_std,Sharpe_net_15bps_mean,Sharpe_net_15bps_std,Sharpe_net_20bps_mean,Sharpe_net_20bps_std,Sharpe_net_30bps_mean,Sharpe_net_30bps_std
B,SAGE-Mean,10,0.0863,0.0127,4.2955,1.0525,4.2955,1.0525,4.1974,1.0233,4.0983,0.9937,3.9981,0.9638,3.8968,0.9336,3.691,0.8722
B,SAGE-Mean,11,0.0664,0.0162,0.9708,0.4848,0.9708,0.4848,0.8613,0.49,0.7495,0.4973,0.6352,0.5067,0.5183,0.5185,0.2769,0.5494
C,GAT,0,-0.0132,0.0167,-0.1662,1.5958,-0.1662,1.5958,-0.485,1.5655,-0.7952,1.5589,-1.0969,1.5749,-1.3904,1.6113,-1.9536,1.7336
C,GAT,1,0.0071,0.0124,0.3034,0.4977,0.3034,0.4977,0.2053,0.513,0.1081,0.5309,0.0117,0.551,-0.0838,0.573,-0.2724,0.6217
C,GAT,2,0.0882,0.0165,4.6499,1.6984,4.6499,1.6984,4.3919,1.6196,4.1323,1.5494,3.8712,1.4894,3.6087,1.4412,3.0794,1.3859
C,GAT,3,-0.018,0.0155,0.1466,0.3081,0.1466,0.3081,0.056,0.3009,-0.0353,0.2954,-0.1273,0.2915,-0.2199,0.2896,-0.4071,0.2916
C,GAT,4,0.1498,0.0452,13.1845,22.3198,13.1845,22.3198,12.6161,21.3044,11.9938,20.1354,11.3344,18.8666,10.6546,17.551,9.2896,14.9566
C,GAT,5,-0.0002,0.0437,-1.7185,1.2789,-1.7185,1.2789,-1.8029,1.2533,-1.8868,1.2288,-1.9703,1.2053,-2.0532,1.1828,-2.2176,1.1411
C,GAT,6,-0.0541,0.0445,-0.4223,1.415,-0.4223,1.415,-0.6078,1.4186,-0.7955,1.4281,-0.9854,1.4435,-1.1775,1.4649,-1.5685,1.5249
C,GAT,7,-0.0199,0.0181,-3.0578,2.1772,-3.0578,2.1772,-3.5764,2.3874,-4.1012,2.6391,-4.6332,2.9321,-5.1735,3.2671,-6.2839,4.07
C,GAT,8,0.0426,0.0496,3.2733,5.3518,3.2733,5.3518,2.8345,4.9045,2.4047,4.4908,1.9841,4.1133,1.5726,3.7745,0.7755,3.2231
C,GAT,9,0.0672,0.0235,6.2381,3.473,6.2381,3.473,6.0527,3.3772,5.8646,3.2774,5.6738,3.1733,5.4801,3.0646,5.0825,2.8331
C,GAT,10,-0.0372,0.0126,-1.1981,2.2172,-1.1981,2.2172,-1.4079,2.2851,-1.6155,2.352,-1.8209,2.4179,-2.0241,2.4826,-2.4238,2.608
C,GAT,11,0.0065,0.0238,0.5934,1.0098,0.5934,1.0098,0.4058,0.9989,0.2153,0.9939,0.022,0.9952,-0.1742,1.0029,-0.5754,1.0374
C,LightGBM,0,0.0269,0.0043,0.7352,0.3725,0.7352,0.3725,0.5806,0.3709,0.4297,0.3714,0.2822,0.3738,0.138,0.3778,-0.1405,0.3894
C,LightGBM,1,0.0226,0.0139,0.3015,0.3851,0.3015,0.3851,0.2096,0.3779,0.119,0.3709,0.0296,0.3641,-0.0587,0.3574,-0.2317,0.3447
C,LightGBM,2,0.077,0.0202,5.3492,0.9068,5.3492,0.9068,5.1013,0.884,4.8522,0.8619,4.6022,0.8405,4.3513,0.8199,3.8477,0.7807
C,LightGBM,3,-0.0067,0.0073,-0.5196,0.5311,-0.5196,0.5311,-0.6733,0.5397,-0.8299,0.5504,-0.9894,0.5634,-1.152,0.5785,-1.4861,0.6155
C,LightGBM,4,0.1151,0.0075,6.1694,4.0918,6.1694,4.0918,5.8849,3.9385,5.5884,3.7693,5.281,3.5871,4.9637,3.3954,4.305,2.9982
C,LightGBM,5,0.0242,0.0,-1.6752,0.0,-1.6752,0.0,-1.7066,0.0,-1.7378,0.0,-1.7689,0.0,-1.7999,0.0,-1.8615,0.0
C,LightGBM,6,-0.0176,0.0,-0.6295,0.0,-0.6295,0.0,-0.7292,0.0,-0.83,0.0,-0.9319,0.0,-1.0349,0.0,-1.2443,0.0
C,LightGBM,7,-0.0205,0.0035,-3.281,1.604,-3.281,1.604,-3.7577,1.7383,-4.23,1.8817,-4.6973,2.0333,-5.1594,2.1921,-6.0655,2.5274
C,LightGBM,8,0.0602,0.0067,2.1494,0.4812,2.1494,0.4812,1.9673,0.4576,1.7872,0.4358,1.6093,0.4157,1.4333,0.3976,1.0875,0.3675
C,LightGBM,9,0.0715,0.0348,4.038,0.2919,4.038,0.2919,3.908,0.2449,3.7787,0.2164,3.6498,0.2115,3.5216,0.2299,3.267,0.31
C,LightGBM,10,-0.0267,0.0067,-0.8301,0.2665,-0.8301,0.2665,-0.9744,0.2863,-1.1174,0.3054,-1.2592,0.3237,-1.3996,0.3413,-1.6763,0.3743
C,LightGBM,11,-0.0026,0.0087,0.8087,2.4607,0.8087,2.4607,0.4066,2.3104,-0.0075,2.1311,-0.4318,1.9268,-0.8642,1.7056,-1.74,1.2654
C,MLP,0,0.001,0.0093,-0.5028,2.0901,-0.5028,2.0901,-0.7698,2.1166,-1.0298,2.1434,-1.2832,2.17,-1.5302,2.1963,-2.006,2.2471
C,MLP,1,0.0355,0.0086,0.6803,0.1976,0.6803,0.1976,0.5954,0.1935,0.5113,0.1896,0.428,0.1859,0.3455,0.1824,0.1829,0.1759
C,MLP,2,0.0865,0.0111,4.0061,0.9889,4.0061,0.9889,3.7853,0.9614,3.564,0.9369,3.3422,0.916,3.12,0.8991,2.6741,0.879
C,MLP,3,-0.0107,0.0203,-0.05,0.4838,-0.05,0.4838,-0.1246,0.485,-0.1997,0.4864,-0.2751,0.4881,-0.3511,0.4899,-0.5043,0.4941
C,MLP,4,0.1526,0.0241,7.1001,5.2789,7.1001,5.2789,6.8275,5.0629,6.5493,4.8403,6.2655,4.6121,5.976,4.3793,5.3802,3.9075
C,MLP,5,0.0336,0.0184,-0.8677,0.2819,-0.8677,0.2819,-0.9418,0.2698,-1.0155,0.261,-1.0887,0.2556,-1.1616,0.2538,-1.3061,0.2607
C,MLP,6,-0.0188,0.021,-0.5635,2.923,-0.5635,2.923,-0.8186,2.9632,-1.0774,3.0131,-1.3398,3.0731,-1.606,3.1431,-2.1501,3.3143
C,MLP,7,-0.0288,0.0247,-7.4332,5.3413,-7.4332,5.3413,-8.1937,6.0365,-8.9493,6.7245,-9.6988,7.3991,-10.4411,8.0548,-11.9005,9.2908
C,MLP,8,0.0596,0.0275,2.1859,1.6461,2.1859,1.6461,1.9135,1.5849,1.6443,1.5319,1.3784,1.4875,1.1156,1.4523,0.5994,1.4109
C,MLP,9,0.056,0.021,4.5915,1.7176,4.5915,1.7176,4.3419,1.6478,4.0952,1.6296,3.8519,1.6598,3.6122,1.7306,3.1449,1.9548
C,MLP,10,-0.0033,0.0071,0.9557,2.0648,0.9557,2.0648,0.6378,2.063,0.3195,2.0668,0.001,2.0771,-0.3175,2.0947,-0.9538,2.1543
C,MLP,11,0.0167,0.0124,-0.2153,0.9889,-0.2153,0.9889,-0.4353,0.9804,-0.6593,0.9797,-0.8874,0.9886,-1.1197,1.009,-1.5966,1.0893
C,SAGE-Mean,0,-0.0007,0.0114,-0.9385,1.4097,-0.9385,1.4097,-1.1661,1.3827,-1.385,1.3642,-1.5959,1.3529,-1.7991,1.348,-2.1841,1.3531
