universe,pair,dropped_fold,full_mean_delta,lofo_mean_delta,this_fold_delta,sign_flips_when_dropped
C,L4-L2,4,0.01594,0.02005,-0.02934,False
C,L4-L2,5,0.01594,0.01062,0.0744,False
C,L4-L2,6,0.01594,0.01487,0.02773,False
C,L4-L2,7,0.01594,0.01618,0.01327,False
C,L4-L2,8,0.01594,0.01885,-0.01612,False
C,L4-L2,9,0.01594,0.00975,0.08404,False
C,L4-L2,10,0.01594,0.01592,0.01615,False
C,L4-L2,11,0.01594,0.01772,-0.00364,False
C,L5-L2,0,0.01489,0.01725,-0.01107,False
C,L5-L2,1,0.01489,0.01408,0.02383,False
C,L5-L2,2,0.01489,0.01647,-0.00249,False
C,L5-L2,3,0.01489,0.01379,0.02697,False
C,L5-L2,4,0.01489,0.01725,-0.01114,False
C,L5-L2,5,0.01489,0.00995,0.06924,False
C,L5-L2,6,0.01489,0.0128,0.03783,False
C,L5-L2,7,0.01489,0.01485,0.01531,False
C,L5-L2,8,0.01489,0.01814,-0.02083,False
C,L5-L2,9,0.01489,0.01356,0.02947,False
C,L5-L2,10,0.01489,0.01486,0.01525,False
C,L5-L2,11,0.01489,0.01567,0.00629,False
C,L5-L4,0,-0.00105,-0.00213,0.01086,False
C,L5-L4,1,-0.00105,-0.00478,0.04003,False
C,L5-L4,2,-0.00105,0.00048,-0.01788,True
C,L5-L4,3,-0.00105,0.00072,-0.02053,True
C,L5-L4,4,-0.00105,-0.0028,0.0182,False
C,L5-L4,5,-0.00105,-0.00068,-0.00516,False
C,L5-L4,6,-0.00105,-0.00206,0.0101,False
C,L5-L4,7,-0.00105,-0.00133,0.00203,False
C,L5-L4,8,-0.00105,-0.00072,-0.00471,False
C,L5-L4,9,-0.00105,0.00382,-0.05457,True
C,L5-L4,10,-0.00105,-0.00106,-0.00089,False
C,L5-L4,11,-0.00105,-0.00205,0.00993,False
C,L5-L3,0,0.02721,0.02795,0.01912,False
C,L5-L3,1,0.02721,0.02946,0.00242,False
C,L5-L3,2,0.02721,0.02967,0.00012,False
C,L5-L3,3,0.02721,0.0273,0.02627,False
C,L5-L3,4,0.02721,0.02675,0.03229,False
C,L5-L3,5,0.02721,0.025,0.05157,False
C,L5-L3,6,0.02721,0.02604,0.04006,False
C,L5-L3,7,0.02721,0.02433,0.0589,False
C,L5-L3,8,0.02721,0.03161,-0.02115,False
C,L5-L3,9,0.02721,0.02189,0.08576,False
C,L5-L3,10,0.02721,0.02751,0.02396,False
C,L5-L3,11,0.02721,0.02903,0.00721,False
