cell_id,universe,arm,model,seed,fold,status,start_ts,end_ts,wall_time_sec,err
3659,CPRE,L0,LightGBM,2026,5,completed,1789207322.0,1789207323.3,1.3,
3770,CPRE,L1,MLP,86,5,completed,1789207323.3,1789207363.1,39.8,
3771,CPRE,L1,MLP,123,5,completed,1789207363.2,1789207412.1,49.0,
3772,CPRE,L1,MLP,456,5,completed,1789207412.2,1789207456.4,44.2,
3773,CPRE,L1,MLP,789,5,completed,1789207456.4,1789207498.6,42.1,
3774,CPRE,L1,MLP,1024,5,completed,1789207498.6,1789207534.0,35.4,
3775,CPRE,L1,MLP,2024,5,completed,1789207534.1,1789207578.3,44.2,
3776,CPRE,L1,MLP,7,5,completed,1789207578.3,1789207626.9,48.5,
3777,CPRE,L1,MLP,34,5,completed,1789207626.9,1789207666.6,39.7,
3778,CPRE,L1,MLP,99,5,completed,1789207666.6,1789207706.3,39.7,
3779,CPRE,L1,MLP,2026,5,completed,1789207706.4,1789207748.5,42.1,
3660,CPRE,L0,LightGBM,86,6,completed,1789207748.9,1789207750.3,1.4,
3661,CPRE,L0,LightGBM,123,6,completed,1789207750.4,1789207751.3,0.9,
3662,CPRE,L0,LightGBM,456,6,completed,1789207751.3,1789207752.3,1.0,
3663,CPRE,L0,LightGBM,789,6,completed,1789207752.4,1789207753.5,1.1,
3664,CPRE,L0,LightGBM,1024,6,completed,1789207753.5,1789207754.5,1.0,
3665,CPRE,L0,LightGBM,2024,6,completed,1789207754.6,1789207755.5,0.9,
3666,CPRE,L0,LightGBM,7,6,completed,1789207755.5,1789207756.8,1.3,
3667,CPRE,L0,LightGBM,34,6,completed,1789207756.8,1789207757.8,1.0,
3668,CPRE,L0,LightGBM,99,6,completed,1789207757.9,1789207758.9,1.0,
3669,CPRE,L0,LightGBM,2026,6,completed,1789207758.9,1789207760.2,1.2,
3780,CPRE,L1,MLP,86,6,completed,1789207760.2,1789207799.1,38.9,
3781,CPRE,L1,MLP,123,6,completed,1789207799.2,1789207840.5,41.3,
3782,CPRE,L1,MLP,456,6,completed,1789207840.6,1789207879.4,38.9,
3783,CPRE,L1,MLP,789,6,completed,1789207879.5,1789207920.8,41.3,
3784,CPRE,L1,MLP,1024,6,completed,1789207920.9,1789207959.8,38.9,
3785,CPRE,L1,MLP,2024,6,completed,1789207959.8,1789207998.7,38.9,
3786,CPRE,L1,MLP,7,6,completed,1789207998.7,1789208040.1,41.3,
3787,CPRE,L1,MLP,34,6,completed,1789208040.1,1789208078.9,38.8,
3788,CPRE,L1,MLP,99,6,completed,1789208079.0,1789208120.2,41.2,
3789,CPRE,L1,MLP,2026,6,completed,1789208120.2,1789208159.2,38.9,
3670,CPRE,L0,LightGBM,86,7,completed,1789208159.7,1789208160.7,1.0,
3671,CPRE,L0,LightGBM,123,7,completed,1789208160.7,1789208161.8,1.1,
3672,CPRE,L0,LightGBM,456,7,completed,1789208161.9,1789208162.9,1.0,
3673,CPRE,L0,LightGBM,789,7,completed,1789208162.9,1789208164.0,1.1,
3674,CPRE,L0,LightGBM,1024,7,completed,1789208164.1,1789208165.1,1.1,
3675,CPRE,L0,LightGBM,2024,7,completed,1789208165.2,1789208166.3,1.1,
3676,CPRE,L0,LightGBM,7,7,completed,1789208166.4,1789208167.5,1.1,
3677,CPRE,L0,LightGBM,34,7,completed,1789208167.5,1789208168.6,1.1,
3678,CPRE,L0,LightGBM,99,7,completed,1789208168.7,1789208169.8,1.1,
3679,CPRE,L0,LightGBM,2026,7,completed,1789208169.8,1789208170.9,1.1,
3790,CPRE,L1,MLP,86,7,completed,1789208171.0,1789208213.4,42.4,
3791,CPRE,L1,MLP,123,7,completed,1789208213.4,1789208258.5,45.1,
3792,CPRE,L1,MLP,456,7,completed,1789208258.6,1789208303.6,45.0,
3793,CPRE,L1,MLP,789,7,completed,1789208303.6,1789208351.6,47.9,
3794,CPRE,L1,MLP,1024,7,completed,1789208351.6,1789208394.0,42.4,
3795,CPRE,L1,MLP,2024,7,completed,1789208394.1,1789208439.1,45.1,
3796,CPRE,L1,MLP,7,7,completed,1789208439.2,1789208481.6,42.4,
3797,CPRE,L1,MLP,34,7,completed,1789208481.6,1789208524.1,42.4,
3798,CPRE,L1,MLP,99,7,completed,1789208524.1,1789208566.5,42.3,
3799,CPRE,L1,MLP,2026,7,completed,1789208566.5,1789208611.5,45.0,
3680,CPRE,L0,LightGBM,86,8,completed,1789208612.1,1789208613.4,1.3,
3681,CPRE,L0,LightGBM,123,8,completed,1789208613.4,1789208614.8,1.4,
3682,CPRE,L0,LightGBM,456,8,completed,1789208614.9,1789208615.9,1.0,
3683,CPRE,L0,LightGBM,789,8,completed,1789208615.9,1789208617.5,1.6,
3684,CPRE,L0,LightGBM,1024,8,completed,1789208617.6,1789208618.7,1.2,
3685,CPRE,L0,LightGBM,2024,8,completed,1789208618.8,1789208620.3,1.5,
3686,CPRE,L0,LightGBM,7,8,completed,1789208620.3,1789208621.5,1.2,
3687,CPRE,L0,LightGBM,34,8,completed,1789208621.5,1789208623.1,1.5,
3688,CPRE,L0,LightGBM,99,8,completed,1789208623.1,1789208624.3,1.1,
3689,CPRE,L0,LightGBM,2026,8,completed,1789208624.3,1789208625.8,1.5,
3800,CPRE,L1,MLP,86,8,completed,1789208625.8,1789208674.6,48.8,
3801,CPRE,L1,MLP,123,8,completed,1789208674.7,1789208720.5,45.8,
3802,CPRE,L1,MLP,456,8,completed,1789208720.6,1789208766.5,46.0,
3803,CPRE,L1,MLP,789,8,completed,1789208766.6,1789208815.4,48.8,
3804,CPRE,L1,MLP,1024,8,completed,1789208815.5,1789208861.4,45.9,
3805,CPRE,L1,MLP,2024,8,completed,1789208861.4,1789208913.0,51.6,
3806,CPRE,L1,MLP,7,8,completed,1789208913.1,1789208959.0,45.9,
3807,CPRE,L1,MLP,34,8,completed,1789208959.0,1789209004.9,45.9,
3808,CPRE,L1,MLP,99,8,completed,1789209004.9,1789209059.5,54.5,
3809,CPRE,L1,MLP,2026,8,completed,1789209059.5,1789209105.6,46.1,
3690,CPRE,L0,LightGBM,86,9,completed,1789209106.1,1789209107.2,1.1,
3691,CPRE,L0,LightGBM,123,9,completed,1789209107.3,1789209108.3,1.1,
3692,CPRE,L0,LightGBM,456,9,completed,1789209108.4,1789209109.5,1.1,
3693,CPRE,L0,LightGBM,789,9,completed,1789209109.5,1789209110.6,1.1,
3694,CPRE,L0,LightGBM,1024,9,completed,1789209110.6,1789209111.7,1.1,
3695,CPRE,L0,LightGBM,2024,9,completed,1789209111.8,1789209112.8,1.0,
