cell_id,universe,arm,model,seed,fold,status,start_ts,end_ts,wall_time_sec,err
2584,C5,L1,MLP,1024,6,completed,1789113810.9,1789113838.6,27.7,
2585,C5,L1,MLP,2024,6,completed,1789113838.8,1789113871.5,32.7,
2586,C5,L1,MLP,7,6,completed,1789113871.8,1789113904.8,33.0,
2587,C5,L1,MLP,34,6,completed,1789113905.0,1789113939.4,34.4,
2588,C5,L1,MLP,99,6,completed,1789113939.7,1789113963.0,23.3,
2589,C5,L1,MLP,2026,6,completed,1789113963.3,1789113993.2,30.0,
2470,C5,L0,LightGBM,86,7,completed,1789113994.2,1789113995.3,1.0,
2471,C5,L0,LightGBM,123,7,completed,1789113995.5,1789113996.6,1.0,
2472,C5,L0,LightGBM,456,7,completed,1789113996.8,1789113997.9,1.1,
2473,C5,L0,LightGBM,789,7,completed,1789113998.2,1789113999.6,1.4,
2474,C5,L0,LightGBM,1024,7,completed,1789113999.9,1789114001.1,1.2,
2475,C5,L0,LightGBM,2024,7,completed,1789114001.4,1789114002.4,1.1,
2476,C5,L0,LightGBM,7,7,completed,1789114002.7,1789114003.8,1.1,
2477,C5,L0,LightGBM,34,7,completed,1789114004.1,1789114005.2,1.1,
2478,C5,L0,LightGBM,99,7,completed,1789114005.5,1789114006.5,1.0,
2479,C5,L0,LightGBM,2026,7,completed,1789114006.8,1789114007.9,1.1,
2590,C5,L1,MLP,86,7,completed,1789114008.1,1789114034.8,26.7,
2591,C5,L1,MLP,123,7,completed,1789114035.0,1789114066.1,31.1,
2592,C5,L1,MLP,456,7,completed,1789114066.4,1789114092.2,25.9,
2593,C5,L1,MLP,789,7,completed,1789114092.5,1789114138.9,46.4,
2594,C5,L1,MLP,1024,7,completed,1789114139.2,1789114166.6,27.5,
2595,C5,L1,MLP,2024,7,completed,1789114166.9,1789114192.4,25.6,
2596,C5,L1,MLP,7,7,completed,1789114192.7,1789114216.9,24.3,
2597,C5,L1,MLP,34,7,completed,1789114217.2,1789114241.0,23.9,
2598,C5,L1,MLP,99,7,completed,1789114241.3,1789114265.5,24.3,
2599,C5,L1,MLP,2026,7,completed,1789114265.8,1789114290.3,24.5,
2480,C5,L0,LightGBM,86,8,completed,1789114291.3,1789114292.6,1.3,
2481,C5,L0,LightGBM,123,8,completed,1789114292.8,1789114293.9,1.1,
2482,C5,L0,LightGBM,456,8,completed,1789114294.1,1789114295.9,1.7,
2483,C5,L0,LightGBM,789,8,completed,1789114296.1,1789114297.3,1.2,
2484,C5,L0,LightGBM,1024,8,completed,1789114297.6,1789114298.8,1.2,
2485,C5,L0,LightGBM,2024,8,completed,1789114299.1,1789114300.3,1.2,
2486,C5,L0,LightGBM,7,8,completed,1789114300.5,1789114301.7,1.2,
2487,C5,L0,LightGBM,34,8,completed,1789114301.9,1789114303.2,1.3,
2488,C5,L0,LightGBM,99,8,completed,1789114303.5,1789114304.9,1.4,
2489,C5,L0,LightGBM,2026,8,completed,1789114305.1,1789114306.3,1.2,
2600,C5,L1,MLP,86,8,completed,1789114306.5,1789114345.4,38.9,
2601,C5,L1,MLP,123,8,completed,1789114345.7,1789114386.0,40.4,
2602,C5,L1,MLP,456,8,completed,1789114386.3,1789114421.4,35.2,
2603,C5,L1,MLP,789,8,completed,1789114421.6,1789114475.8,54.2,
2604,C5,L1,MLP,1024,8,completed,1789114476.1,1789114511.7,35.6,
2605,C5,L1,MLP,2024,8,completed,1789114511.9,1789114558.1,46.1,
2606,C5,L1,MLP,7,8,completed,1789114558.3,1789114594.0,35.8,
2607,C5,L1,MLP,34,8,completed,1789114594.3,1789114641.7,47.5,
2608,C5,L1,MLP,99,8,completed,1789114641.9,1789114672.3,30.4,
2609,C5,L1,MLP,2026,8,completed,1789114672.5,1789114702.9,30.4,
2490,C5,L0,LightGBM,86,9,completed,1789114703.9,1789114704.8,1.0,
2491,C5,L0,LightGBM,123,9,completed,1789114705.1,1789114706.3,1.2,
2492,C5,L0,LightGBM,456,9,completed,1789114706.5,1789114708.1,1.6,
2493,C5,L0,LightGBM,789,9,completed,1789114708.4,1789114709.5,1.1,
2494,C5,L0,LightGBM,1024,9,completed,1789114709.8,1789114710.8,1.0,
2495,C5,L0,LightGBM,2024,9,completed,1789114711.1,1789114712.1,1.0,
2496,C5,L0,LightGBM,7,9,completed,1789114712.4,1789114713.5,1.2,
2497,C5,L0,LightGBM,34,9,completed,1789114713.8,1789114714.8,1.0,
2498,C5,L0,LightGBM,99,9,completed,1789114715.1,1789114716.2,1.1,
2499,C5,L0,LightGBM,2026,9,completed,1789114716.5,1789114717.7,1.2,
