cell_id,universe,arm,model,seed,fold,status,start_ts,end_ts,wall_time_sec,err
2426,C5,L0,LightGBM,7,2,completed,1789112434.6,1789112435.4,0.8,
2427,C5,L0,LightGBM,34,2,completed,1789112435.4,1789112435.9,0.5,
2428,C5,L0,LightGBM,99,2,completed,1789112435.9,1789112436.5,0.6,
2429,C5,L0,LightGBM,2026,2,completed,1789112436.6,1789112437.1,0.5,
2540,C5,L1,MLP,86,2,completed,1789112437.2,1789112463.8,26.6,
2541,C5,L1,MLP,123,2,completed,1789112463.8,1789112490.5,26.7,
2542,C5,L1,MLP,456,2,completed,1789112490.6,1789112517.4,26.9,
2543,C5,L1,MLP,789,2,completed,1789112517.5,1789112542.5,25.0,
2544,C5,L1,MLP,1024,2,completed,1789112542.6,1789112575.5,33.0,
2545,C5,L1,MLP,2024,2,completed,1789112575.6,1789112610.0,34.5,
2546,C5,L1,MLP,7,2,completed,1789112610.1,1789112636.7,26.6,
2547,C5,L1,MLP,34,2,completed,1789112636.7,1789112661.8,25.1,
2548,C5,L1,MLP,99,2,completed,1789112661.9,1789112691.7,29.8,
2549,C5,L1,MLP,2026,2,completed,1789112691.7,1789112719.9,28.2,
2430,C5,L0,LightGBM,86,3,completed,1789112720.1,1789112720.7,0.6,
2431,C5,L0,LightGBM,123,3,completed,1789112720.7,1789112721.3,0.6,
2432,C5,L0,LightGBM,456,3,completed,1789112721.3,1789112721.8,0.5,
2433,C5,L0,LightGBM,789,3,completed,1789112721.9,1789112722.5,0.6,
2434,C5,L0,LightGBM,1024,3,completed,1789112722.5,1789112723.1,0.6,
2435,C5,L0,LightGBM,2024,3,completed,1789112723.1,1789112723.7,0.5,
2436,C5,L0,LightGBM,7,3,completed,1789112723.7,1789112724.3,0.6,
2437,C5,L0,LightGBM,34,3,completed,1789112724.3,1789112724.9,0.6,
2438,C5,L0,LightGBM,99,3,completed,1789112725.0,1789112725.5,0.6,
2439,C5,L0,LightGBM,2026,3,completed,1789112725.6,1789112726.1,0.5,
2550,C5,L1,MLP,86,3,completed,1789112726.1,1789112758.1,32.0,
2551,C5,L1,MLP,123,3,completed,1789112758.2,1789112790.2,32.1,
2552,C5,L1,MLP,456,3,completed,1789112790.3,1789112820.4,30.1,
2553,C5,L1,MLP,789,3,completed,1789112820.4,1789112852.3,31.9,
2554,C5,L1,MLP,1024,3,completed,1789112852.4,1789112886.1,33.7,
2555,C5,L1,MLP,2024,3,completed,1789112886.1,1789112920.0,33.9,
2556,C5,L1,MLP,7,3,completed,1789112920.1,1789112948.6,28.5,
2557,C5,L1,MLP,34,3,completed,1789112948.7,1789112979.0,30.3,
2558,C5,L1,MLP,99,3,completed,1789112979.0,1789113023.5,44.5,
2559,C5,L1,MLP,2026,3,completed,1789113023.5,1789113052.1,28.6,
2440,C5,L0,LightGBM,86,4,completed,1789113052.3,1789113052.8,0.5,
2441,C5,L0,LightGBM,123,4,completed,1789113052.9,1789113053.6,0.7,
2442,C5,L0,LightGBM,456,4,completed,1789113053.7,1789113054.3,0.7,
2443,C5,L0,LightGBM,789,4,completed,1789113054.4,1789113055.0,0.6,
2444,C5,L0,LightGBM,1024,4,completed,1789113055.1,1789113055.7,0.7,
2445,C5,L0,LightGBM,2024,4,completed,1789113055.8,1789113056.4,0.6,
2446,C5,L0,LightGBM,7,4,completed,1789113056.5,1789113057.1,0.6,
