universe,pair,arm_A,arm_B,cost_bps,fold,test_period,dSharpe
B,L5-L4,L5,L4,0,8,2025Q1,-0.0607
B,L5-L4,L5,L4,0,9,2025Q2,0.3663
B,L5-L4,L5,L4,0,10,2025Q3,1.1763
B,L5-L4,L5,L4,0,11,2025Q4,-0.4325
B,L5-L4,L5,L4,10,0,2023Q1,-0.9066
B,L5-L4,L5,L4,10,1,2023Q2,0.2064
B,L5-L4,L5,L4,10,2,2023Q3,-0.5276
B,L5-L4,L5,L4,10,3,2023Q4,0.1162
B,L5-L4,L5,L4,10,4,2024Q1,0.4568
B,L5-L4,L5,L4,10,5,2024Q2,0.269
B,L5-L4,L5,L4,10,6,2024Q3,0.0429
B,L5-L4,L5,L4,10,7,2024Q4,0.2486
B,L5-L4,L5,L4,10,8,2025Q1,-0.0588
B,L5-L4,L5,L4,10,9,2025Q2,0.3192
B,L5-L4,L5,L4,10,10,2025Q3,1.0
B,L5-L4,L5,L4,10,11,2025Q4,-0.4785
B,L5-L4,L5,L4,30,0,2023Q1,-0.4713
B,L5-L4,L5,L4,30,1,2023Q2,0.3177
B,L5-L4,L5,L4,30,2,2023Q3,-0.7294
B,L5-L4,L5,L4,30,3,2023Q4,0.1489
B,L5-L4,L5,L4,30,4,2024Q1,0.5101
B,L5-L4,L5,L4,30,5,2024Q2,0.2558
B,L5-L4,L5,L4,30,6,2024Q3,0.1012
B,L5-L4,L5,L4,30,7,2024Q4,0.27
B,L5-L4,L5,L4,30,8,2025Q1,-0.0552
B,L5-L4,L5,L4,30,9,2025Q2,0.2047
B,L5-L4,L5,L4,30,10,2025Q3,0.6581
B,L5-L4,L5,L4,30,11,2025Q4,-0.5777
B,L5-L3,L5,L3,0,0,2023Q1,0.0592
B,L5-L3,L5,L3,0,1,2023Q2,0.1855
B,L5-L3,L5,L3,0,2,2023Q3,-0.0821
B,L5-L3,L5,L3,0,3,2023Q4,1.8411
B,L5-L3,L5,L3,0,4,2024Q1,-1.1418
B,L5-L3,L5,L3,0,5,2024Q2,0.36
B,L5-L3,L5,L3,0,6,2024Q3,0.0649
B,L5-L3,L5,L3,0,7,2024Q4,2.2091
B,L5-L3,L5,L3,0,8,2025Q1,-0.8472
B,L5-L3,L5,L3,0,9,2025Q2,-0.7136
B,L5-L3,L5,L3,0,10,2025Q3,0.9486
B,L5-L3,L5,L3,0,11,2025Q4,-0.1139
B,L5-L3,L5,L3,10,0,2023Q1,0.0422
B,L5-L3,L5,L3,10,1,2023Q2,0.3355
B,L5-L3,L5,L3,10,2,2023Q3,0.316
B,L5-L3,L5,L3,10,3,2023Q4,2.1249
B,L5-L3,L5,L3,10,4,2024Q1,-1.0403
B,L5-L3,L5,L3,10,5,2024Q2,0.4048
B,L5-L3,L5,L3,10,6,2024Q3,0.0875
B,L5-L3,L5,L3,10,7,2024Q4,2.2351
B,L5-L3,L5,L3,10,8,2025Q1,-0.8353
B,L5-L3,L5,L3,10,9,2025Q2,-0.6868
B,L5-L3,L5,L3,10,10,2025Q3,0.7383
B,L5-L3,L5,L3,10,11,2025Q4,-0.0929
B,L5-L3,L5,L3,30,0,2023Q1,0.0341
B,L5-L3,L5,L3,30,1,2023Q2,0.6593
B,L5-L3,L5,L3,30,2,2023Q3,1.1243
B,L5-L3,L5,L3,30,3,2023Q4,2.6415
B,L5-L3,L5,L3,30,4,2024Q1,-0.8451
B,L5-L3,L5,L3,30,5,2024Q2,0.4957
B,L5-L3,L5,L3,30,6,2024Q3,0.1313
B,L5-L3,L5,L3,30,7,2024Q4,2.2867
B,L5-L3,L5,L3,30,8,2025Q1,-0.8104
B,L5-L3,L5,L3,30,9,2025Q2,-0.6251
B,L5-L3,L5,L3,30,10,2025Q3,0.3275
B,L5-L3,L5,L3,30,11,2025Q4,-0.0453
C,L1-L0,L1,L0,0,0,2023Q1,0.7523
C,L1-L0,L1,L0,0,1,2023Q2,0.194
C,L1-L0,L1,L0,0,2,2023Q3,1.5315
C,L1-L0,L1,L0,0,3,2023Q4,-0.8356
C,L1-L0,L1,L0,0,4,2024Q1,1.1911
C,L1-L0,L1,L0,0,5,2024Q2,0.1382
C,L1-L0,L1,L0,0,6,2024Q3,0.1124
C,L1-L0,L1,L0,0,7,2024Q4,0.0018
C,L1-L0,L1,L0,0,8,2025Q1,1.8552
C,L1-L0,L1,L0,0,9,2025Q2,5.0812
C,L1-L0,L1,L0,0,10,2025Q3,2.9983
C,L1-L0,L1,L0,0,11,2025Q4,1.9166
C,L1-L0,L1,L0,10,0,2023Q1,0.7024
C,L1-L0,L1,L0,10,1,2023Q2,-0.0277
C,L1-L0,L1,L0,10,2,2023Q3,1.546
C,L1-L0,L1,L0,10,3,2023Q4,-1.2507
C,L1-L0,L1,L0,10,4,2024Q1,1.0351
C,L1-L0,L1,L0,10,5,2024Q2,-0.0349
C,L1-L0,L1,L0,10,6,2024Q3,0.099
C,L1-L0,L1,L0,10,7,2024Q4,0.0889
C,L1-L0,L1,L0,10,8,2025Q1,1.9431
C,L1-L0,L1,L0,10,9,2025Q2,4.9135
C,L1-L0,L1,L0,10,10,2025Q3,2.857
C,L1-L0,L1,L0,10,11,2025Q4,2.2078
C,L1-L0,L1,L0,30,0,2023Q1,0.604
C,L1-L0,L1,L0,30,1,2023Q2,-0.4966
C,L1-L0,L1,L0,30,2,2023Q3,1.5862
C,L1-L0,L1,L0,30,3,2023Q4,-2.0148
C,L1-L0,L1,L0,30,4,2024Q1,0.6638
C,L1-L0,L1,L0,30,5,2024Q2,-0.3674
C,L1-L0,L1,L0,30,6,2024Q3,0.0716
C,L1-L0,L1,L0,30,7,2024Q4,0.2806
C,L1-L0,L1,L0,30,8,2025Q1,2.1402
C,L1-L0,L1,L0,30,9,2025Q2,4.6346
C,L1-L0,L1,L0,30,10,2025Q3,2.5718
C,L1-L0,L1,L0,30,11,2025Q4,2.5862
C,L2-L1,L2,L1,0,0,2023Q1,0.1409
C,L2-L1,L2,L1,0,1,2023Q2,0.2625
C,L2-L1,L2,L1,0,2,2023Q3,0.8543
C,L2-L1,L2,L1,0,3,2023Q4,-2.6166
C,L2-L1,L2,L1,0,4,2024Q1,-0.4144
C,L2-L1,L2,L1,0,5,2024Q2,-1.5534
C,L2-L1,L2,L1,0,6,2024Q3,-0.433
C,L2-L1,L2,L1,0,7,2024Q4,0.0696
C,L2-L1,L2,L1,0,8,2025Q1,0.2664
C,L2-L1,L2,L1,0,9,2025Q2,-2.8872
C,L2-L1,L2,L1,0,10,2025Q3,-1.2967
C,L2-L1,L2,L1,0,11,2025Q4,-0.6139
C,L2-L1,L2,L1,10,0,2023Q1,0.096
C,L2-L1,L2,L1,10,1,2023Q2,0.2944
C,L2-L1,L2,L1,10,2,2023Q3,0.606
C,L2-L1,L2,L1,10,3,2023Q4,-3.1701
C,L2-L1,L2,L1,10,4,2024Q1,-0.3025
C,L2-L1,L2,L1,10,5,2024Q2,-1.5755
C,L2-L1,L2,L1,10,6,2024Q3,-0.4491
C,L2-L1,L2,L1,10,7,2024Q4,0.1159
C,L2-L1,L2,L1,10,8,2025Q1,0.2629
C,L2-L1,L2,L1,10,9,2025Q2,-2.7497
C,L2-L1,L2,L1,10,10,2025Q3,-1.1651
C,L2-L1,L2,L1,10,11,2025Q4,-0.613
C,L2-L1,L2,L1,30,0,2023Q1,0.0078
C,L2-L1,L2,L1,30,1,2023Q2,0.3639
C,L2-L1,L2,L1,30,2,2023Q3,-0.3453
C,L2-L1,L2,L1,30,3,2023Q4,-4.6147
C,L2-L1,L2,L1,30,4,2024Q1,-0.0393
C,L2-L1,L2,L1,30,5,2024Q2,-1.5938
C,L2-L1,L2,L1,30,6,2024Q3,-0.4815
C,L2-L1,L2,L1,30,7,2024Q4,0.1995
C,L2-L1,L2,L1,30,8,2025Q1,0.2562
C,L2-L1,L2,L1,30,9,2025Q2,-2.4936
C,L2-L1,L2,L1,30,10,2025Q3,-0.9066
C,L2-L1,L2,L1,30,11,2025Q4,-0.6089
C,L6-L2,L6,L2,0,0,2023Q1,-0.1365
C,L6-L2,L6,L2,0,1,2023Q2,-1.3421
C,L6-L2,L6,L2,0,2,2023Q3,-3.9323
C,L6-L2,L6,L2,0,3,2023Q4,4.3603
C,L6-L2,L6,L2,0,4,2024Q1,-1.4663
C,L6-L2,L6,L2,0,5,2024Q2,3.9542
C,L6-L2,L6,L2,0,6,2024Q3,0.6133
C,L6-L2,L6,L2,0,7,2024Q4,-0.7551
C,L6-L2,L6,L2,0,8,2025Q1,0.0567
C,L6-L2,L6,L2,0,9,2025Q2,1.3757
C,L6-L2,L6,L2,0,10,2025Q3,0.6847
C,L6-L2,L6,L2,0,11,2025Q4,1.6116
C,L6-L2,L6,L2,10,0,2023Q1,-0.0651
C,L6-L2,L6,L2,10,1,2023Q2,-1.2369
C,L6-L2,L6,L2,10,2,2023Q3,-3.6755
C,L6-L2,L6,L2,10,3,2023Q4,5.1251
C,L6-L2,L6,L2,10,4,2024Q1,-1.395
